"age_group"	"sex"	"level"	"variable"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
50+	Men	Previously	"smoking_status"	3	2	25	6	19	       0.0020926	      -8.6156762	      -8.3581661	       0.7237237	      -8.4293101
50+	Men	Previously	"smoking_status"	4	3	25	8	17	       0.0015827	      -8.6374351	      -8.2511700	       0.9377329	      -8.2752216
50+	Men	Previously	"smoking_status"	5	4	25	10	15	       0.0011969	      -8.6593795	      -8.1443594	       0.8276387	      -8.2331289
20-49	Women	Previously	"smoking_status"	1	0	25	2	23	       0.0366541	      -6.2675962	      -6.2675962	       0.0000000	      -6.2675962
20-49	Women	Previously	"smoking_status"	2	1	25	4	21	       0.0246743	      -6.4058478	      -6.2770928	       0.3268329	      -6.3637665
20-49	Women	Previously	"smoking_status"	3	2	25	6	19	       0.0058982	      -7.5794600	      -7.3219500	       0.7824953	      -7.3779596
20-49	Women	Previously	"smoking_status"	4	3	25	8	17	       0.0036380	      -7.8051613	      -7.4188963	       0.9159119	      -7.4513766
20-49	Women	Previously	"smoking_status"	5	4	25	10	15	       0.0022115	      -8.0454168	      -7.5303966	       0.9594307	      -7.5512906
50+	Women	Previously	"smoking_status"	1	0	25	2	23	       0.0079378	      -7.7974843	      -7.7974843	       0.0000000	      -7.7974843
50+	Women	Previously	"smoking_status"	2	1	25	4	21	       0.0054738	      -7.9116435	      -7.7828885	       0.3104178	      -7.8716756
50+	Women	Previously	"smoking_status"	3	2	25	6	19	       0.0038918	      -7.9952182	      -7.7377081	       0.5142701	      -7.8627884
50+	Women	Previously	"smoking_status"	4	3	25	8	17	       0.0035495	      -7.8297870	      -7.4435219	       0.5142701	      -7.6311424
50+	Women	Previously	"smoking_status"	5	4	25	10	15	       0.0029814	      -7.7466833	      -7.2316631	       0.6413910	      -7.4163540
