"Sex"	"age_group"	"Cancer label"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
1	"0-59"	Colorectum	2015	2.94	2.83	NA	3.7691	5	5
1	"0-59"	Colorectum	2016	2.88	2.93	NA	3.7691	5	5
2	"0-59"	Colorectum	1955	5.92	5.70	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1956	5.94	5.65	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1957	5.34	5.60	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1958	5.53	5.56	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1959	5.62	5.51	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1960	5.53	5.46	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1961	5.38	5.42	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1962	5.32	5.37	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1963	5.06	5.33	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1964	5.17	5.28	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1965	5.07	5.24	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1966	4.92	5.19	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1967	5.27	5.15	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1968	5.36	5.10	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1969	5.29	5.06	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1970	4.87	5.02	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1971	4.90	4.98	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1972	5.00	4.93	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1973	4.98	4.89	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1974	4.93	4.85	NA	-0.8456*	3	3
2	"0-59"	Colorectum	1975	4.82	4.81	Joinpoint 1	NA	3	3
2	"0-59"	Colorectum	1976	4.83	4.72	NA	-1.9756*	3	3
2	"0-59"	Colorectum	1977	4.65	4.62	NA	-1.9756*	3	3
2	"0-59"	Colorectum	1978	4.36	4.53	NA	-1.9756*	3	3
2	"0-59"	Colorectum	1979	4.58	4.44	NA	-1.9756*	3	3
2	"0-59"	Colorectum	1980	4.37	4.35	NA	-1.9756*	3	3
2	"0-59"	Colorectum	1981	4.25	4.27	NA	-1.9756*	3	3
2	"0-59"	Colorectum	1982	3.79	4.18	NA	-1.9756*	3	3
2	"0-59"	Colorectum	1983	3.98	4.10	NA	-1.9756*	3	3
2	"0-59"	Colorectum	1984	4.07	4.02	NA	-1.9756*	3	3
2	"0-59"	Colorectum	1985	4.23	3.94	NA	-1.9756*	3	3
2	"0-59"	Colorectum	1986	3.93	3.86	NA	-1.9756*	3	3
2	"0-59"	Colorectum	1987	4.00	3.79	NA	-1.9756*	3	3
2	"0-59"	Colorectum	1988	3.66	3.71	NA	-1.9756*	3	3
2	"0-59"	Colorectum	1989	3.50	3.64	NA	-1.9756*	3	3
2	"0-59"	Colorectum	1990	3.61	3.57	NA	-1.9756*	3	3
2	"0-59"	Colorectum	1991	3.50	3.50	Joinpoint 2	NA	3	3
2	"0-59"	Colorectum	1992	3.42	3.35	NA	-4.0358*	3	3
2	"0-59"	Colorectum	1993	3.25	3.22	NA	-4.0358*	3	3
