"sex"	"age_group"	"cancer_site"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
Women	20-49	Gallbladder	0	19	2	17	6.134935	0.360879	Uncorrelated	0	NA	NA	NA	-60.481060	9.151483	-6.608881	0.000004	0.031810	0.004551	6.989983	0.000002	NA	NA	NA	NA	83.749647	-0.041647	0.000021	1.000000	-0.999996	1.000000
Women	20-49	Kidney	1	19	4	15	17.795232	1.186349	Uncorrelated	0	NA	NA	NA	-107.026958	10.137789	-10.557228	0.000000	0.055995	0.005048	11.093195	0.000000	NA	NA	NA	NA	102.774774	0.000000	3032.812075	1.000000	0.000000	1.000000
Women	20-49	Kidney	1	19	4	15	17.795232	1.186349	Uncorrelated	1	2015	2003	2017	3.892811	55.070973	0.070687	0.944647	0.000948	0.027297	0.034716	0.972796	-0.055047	0.027759	-1.983006	0.067339	0.000025	0.000000	0.000745	1.000000	0.000000	1.000000
Women	20-49	Liver	1	19	4	15	7.699733	0.513316	Uncorrelated	0	NA	NA	NA	-169.640938	39.449304	-4.300226	0.000733	0.086579	0.019682	4.398950	0.000606	NA	NA	NA	NA	1556.247554	0.000000	247.157130	1.000000	0.000000	1.000000
Women	20-49	Liver	1	19	4	15	7.699733	0.513316	Uncorrelated	1	2008	2003	2015	-30.494357	15.721232	-1.939693	0.072836	0.017283	0.007805	2.214273	0.043909	-0.069296	0.021173	-3.272881	0.005554	0.000387	0.000000	0.000061	1.000000	0.000000	1.000000
Women	20-49	MultipleMyeloma	0	19	2	17	25.573945	1.504350	Uncorrelated	0	NA	NA	NA	-116.003613	10.504465	-11.043267	0.000000	0.060012	0.005222	11.493284	0.000000	NA	NA	NA	NA	110.343783	-0.054849	0.000027	1.000000	-0.999997	1.000000
Women	20-49	Oral	2	19	6	13	13.038864	1.002990	Uncorrelated	0	NA	NA	NA	47.524904	94.798067	0.501328	0.626022	-0.021023	0.047352	-0.443967	0.665673	NA	NA	NA	NA	8986.673542	0.000000	0.002090	1.000000	0.000000	1.000000
Women	20-49	Oral	2	19	6	13	13.038864	1.002990	Uncorrelated	1	2004	2003	2011	-163.815209	91.700426	-1.786417	0.101590	0.084436	0.045712	1.847127	0.091780	0.105459	0.065817	1.602320	0.137389	0.002242	0.000000	123.656976	1.000000	0.000000	1.000000
Women	20-49	Oral	2	19	6	13	13.038864	1.002990	Uncorrelated	2	2008	2007	2017	-12.003402	11.120116	-1.079431	0.303495	0.008833	0.005521	1.599846	0.137938	-0.075603	0.046045	-1.641965	0.128849	8408.968095	0.000000	0.000030	1.000000	0.000000	1.000000
Women	20-49	Pancreas	0	19	2	17	14.547273	0.855722	Uncorrelated	0	NA	NA	NA	-55.596592	6.997525	-7.945180	0.000000	0.030069	0.003480	8.641118	0.000000	NA	NA	NA	NA	48.965350	-0.024350	0.000012	1.000000	-0.999996	1.000000
