"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Women	50+	MultipleMyeloma	3	2	19	6	13	       0.0244408	      -5.7261168	      -5.4161758	       0.6053106	      -5.5385062
Women	50+	MultipleMyeloma	4	3	19	8	11	       0.0216095	      -5.5392967	      -5.0743853	       0.6053106	      -5.2578809
Women	50+	Oral	1	0	19	2	17	       0.0244819	      -6.3443191	      -6.3443191	       0.0000000	      -6.3443191
Women	50+	Oral	2	1	19	4	15	       0.0107827	      -6.8543724	      -6.6994019	       0.5595658	      -6.7676562
Women	50+	Oral	3	2	19	6	13	       0.0080296	      -6.8392354	      -6.5292945	       0.3455585	      -6.7321327
Women	50+	Oral	4	3	19	8	11	       0.0064870	      -6.7426295	      -6.2777181	       0.6424064	      -6.4439675
Women	50+	Pancreas	1	0	19	2	17	       0.0099936	      -7.2403126	      -7.2403126	       0.0000000	      -7.2403126
Women	50+	Pancreas	2	1	19	4	15	       0.0034793	      -7.9854790	      -7.8305085	       0.6518451	      -7.8844622
Women	50+	Pancreas	3	2	19	6	13	       0.0029163	      -7.8520723	      -7.5421313	       0.5456368	      -7.6829571
Women	50+	Pancreas	4	3	19	8	11	       0.0026706	      -7.6301401	      -7.1652287	       0.5456368	      -7.3764673
Women	50+	Thyroid	1	0	19	2	17	       0.0441905	      -5.7537432	      -5.7537432	       0.0000000	      -5.7537432
Women	50+	Thyroid	2	1	19	4	15	       0.0246074	      -6.0292660	      -5.8742956	       0.4431525	      -5.9605905
Women	50+	Thyroid	3	2	19	6	13	       0.0191288	      -5.9711782	      -5.6612372	       0.5172593	      -5.8108584
Women	50+	Thyroid	4	3	19	8	11	       0.0176738	      -5.7403451	      -5.2754337	       0.8964382	      -5.3235808
