"age_group"	"sex"	"imd"	"level"	"variable"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
All	Men	1	Non-Drinker	"alcohol_amt"	2	1	9	4	5	       0.0050084	      -6.5173270	      -6.2731910	       0.5791527	      -6.3759350
All	Men	2	Non-Drinker	"alcohol_amt"	1	0	9	2	7	       0.0086064	      -6.4642035	      -6.4642035	       0.0000000	      -6.4642035
All	Men	2	Non-Drinker	"alcohol_amt"	2	1	9	4	5	       0.0048469	      -6.5501041	      -6.3059681	       0.4368293	      -6.4434584
All	Men	3	Non-Drinker	"alcohol_amt"	1	0	9	2	7	       0.0061979	      -6.7925043	      -6.7925043	       0.0000000	      -6.7925043
All	Men	3	Non-Drinker	"alcohol_amt"	2	1	9	4	5	       0.0022250	      -7.3286868	      -7.0845508	       0.6410075	      -7.1721938
All	Men	4	Non-Drinker	"alcohol_amt"	1	0	9	2	7	       0.0064359	      -6.7548208	      -6.7548208	       0.0000000	      -6.7548208
All	Men	4	Non-Drinker	"alcohol_amt"	2	1	9	4	5	       0.0041982	      -6.6937789	      -6.4496428	       0.3476865	      -6.6088961
All	Men	5	Non-Drinker	"alcohol_amt"	1	0	9	2	7	       0.0115767	      -6.1677125	      -6.1677125	       0.0000000	      -6.1677125
All	Men	5	Non-Drinker	"alcohol_amt"	2	1	9	4	5	       0.0064745	      -6.2605615	      -6.0164255	       0.4407290	      -6.1529637
All	Women	1	Non-Drinker	"alcohol_amt"	1	0	9	2	7	       0.0046210	      -7.0860894	      -7.0860894	       0.0000000	      -7.0860894
All	Women	1	Non-Drinker	"alcohol_amt"	2	1	9	4	5	       0.0033403	      -6.9223715	      -6.6782354	       0.2771503	      -6.8547091
All	Women	2	Non-Drinker	"alcohol_amt"	1	0	9	2	7	       0.0198630	      -5.6278474	      -5.6278474	       0.0000000	      -5.6278474
All	Women	2	Non-Drinker	"alcohol_amt"	2	1	9	4	5	       0.0019931	      -7.4387262	      -7.1945901	       0.8996559	      -7.2190877
All	Women	3	Non-Drinker	"alcohol_amt"	1	0	9	2	7	       0.0085585	      -6.4697780	      -6.4697780	       0.0000000	      -6.4697780
All	Women	3	Non-Drinker	"alcohol_amt"	2	1	9	4	5	       0.0046052	      -6.6012571	      -6.3571211	       0.4619216	      -6.4884854
All	Women	4	Non-Drinker	"alcohol_amt"	1	0	9	2	7	       0.0039912	      -7.2326155	      -7.2326155	       0.0000000	      -7.2326155
All	Women	4	Non-Drinker	"alcohol_amt"	2	1	9	4	5	       0.0006834	      -8.5090602	      -8.2649242	       0.8287645	      -8.3067290
All	Women	5	Non-Drinker	"alcohol_amt"	1	0	9	2	7	       0.0033381	      -7.4112996	      -7.4112996	       0.0000000	      -7.4112996
