"age_group"	"sex"	"level"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
2-15 years	Boys	Obese	2	1	25	4	21	       0.1521092	      -4.5870124	      -4.4582574	       0.5558844	      -4.5154395
2-15 years	Boys	Obese	3	2	25	6	19	       0.0951877	      -4.7982500	      -4.5407399	       0.8138998	      -4.5886626
2-15 years	Boys	Obese	4	3	25	8	17	       0.0874155	      -4.6259185	      -4.2396534	       0.8072563	      -4.3141035
2-15 years	Boys	Obese	5	4	25	10	15	       0.0838131	      -4.4104918	      -3.8954717	       0.8072563	      -3.9947386
2-15 years	Boys	Overweight	1	0	25	2	23	       0.1907789	      -4.6180060	      -4.6180060	       0.0000000	      -4.6180060
2-15 years	Boys	Overweight	2	1	25	4	21	       0.1511450	      -4.5933713	      -4.4646163	       0.2077477	      -4.5666227
2-15 years	Boys	Overweight	3	2	25	6	19	       0.1382783	      -4.4248329	      -4.1673228	       0.3843136	      -4.3258683
2-15 years	Boys	Overweight	4	3	25	8	17	       0.1355044	      -4.1875868	      -3.8013217	       0.3876531	      -4.0378499
2-15 years	Boys	Overweight	5	4	25	10	15	       0.1349274	      -3.9343442	      -3.4193241	       0.3876531	      -3.7346950
2-15 years	Boys	Overweight including obese	1	0	25	2	23	       0.1555688	      -4.8220328	      -4.8220328	       0.0000000	      -4.8220328
2-15 years	Boys	Overweight including obese	2	1	25	4	21	       0.0702092	      -5.3601310	      -5.2313760	       0.5486934	      -5.2894840
2-15 years	Boys	Overweight including obese	3	2	25	6	19	       0.0526171	      -5.3910590	      -5.1335490	       0.6818541	      -5.2154747
2-15 years	Boys	Overweight including obese	4	3	25	8	17	       0.0508519	      -5.1676724	      -4.7814073	       0.5398844	      -4.9591340
2-15 years	Boys	Overweight including obese	5	4	25	10	15	       0.0503205	      -4.9206679	      -4.4056477	       0.6632551	      -4.5790782
2-15 years	Girls	Obese	1	0	25	2	23	       0.3376488	      -4.0471148	      -4.0471148	       0.0000000	      -4.0471148
2-15 years	Girls	Obese	2	1	25	4	21	       0.1206300	      -4.8188834	      -4.6901283	       0.6427354	      -4.7361279
2-15 years	Girls	Obese	3	2	25	6	19	       0.1058818	      -4.6917774	      -4.4342674	       0.6887433	      -4.5144191
2-15 years	Girls	Obese	4	3	25	8	17	       0.0837824	      -4.6683678	      -4.2821027	       0.7774846	      -4.3680526
2-15 years	Girls	Obese	5	4	25	10	15	       0.0812521	      -4.4415235	      -3.9265034	       0.7627957	      -4.0486683
2-15 years	Girls	Overweight	1	0	25	2	23	       0.1620496	      -4.7812188	      -4.7812188	       0.0000000	      -4.7812188
2-15 years	Girls	Overweight	2	1	25	4	21	       0.1190809	      -4.8318081	      -4.7030531	       0.2651577	      -4.7976678
2-15 years	Girls	Overweight	3	2	25	6	19	       0.1070753	      -4.6805690	      -4.4230590	       0.3099141	      -4.6007630
2-15 years	Girls	Overweight	4	3	25	8	17	       0.0993553	      -4.4978882	      -4.1116231	       0.5432315	      -4.2880568
2-15 years	Girls	Overweight	5	4	25	10	15	       0.0733950	      -4.5432254	      -4.0282053	       0.5432315	      -4.2634503
2-15 years	Girls	Overweight including obese	1	0	25	2	23	       0.1678115	      -4.7462796	      -4.7462796	       0.0000000	      -4.7462796
2-15 years	Girls	Overweight including obese	2	1	25	4	21	       0.0529632	      -5.6420140	      -5.5132590	       0.6843889	      -5.5538955
2-15 years	Girls	Overweight including obese	3	2	25	6	19	       0.0389779	      -5.6911061	      -5.4335960	       0.7469065	      -5.4987701
2-15 years	Girls	Overweight including obese	4	3	25	8	17	       0.0358054	      -5.5184909	      -5.1322258	       0.6366048	      -5.2725927
2-15 years	Girls	Overweight including obese	5	4	25	10	15	       0.0341351	      -5.3087546	      -4.7937345	       0.6611456	      -4.9682513
