"age_group"	"sex"	"exposure"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
20-49	Men	Healthy Weight	3	2	21	6	15	       0.0270544	      -5.7845630	      -5.4946085	       0.4544438	      -5.6527950
20-49	Men	Healthy Weight	4	3	21	8	13	       0.0244259	      -5.5968174	      -5.1618856	       0.3602804	      -5.4401200
20-49	Women	Healthy Weight	1	0	21	2	19	       0.0159354	      -6.8937814	      -6.8937814	       0.0000000	      -6.8937814
20-49	Women	Healthy Weight	2	1	21	4	17	       0.0137166	      -6.7537620	      -6.6087848	       0.1392362	      -6.7335760
20-49	Women	Healthy Weight	3	2	21	6	15	       0.0107490	      -6.7075977	      -6.4176431	       0.3985912	      -6.5920243
20-49	Women	Healthy Weight	4	3	21	8	13	       0.0104381	      -6.4469937	      -6.0120619	       0.3656107	      -6.2879779
50+	Men	Healthy Weight	1	0	21	2	19	       0.0720202	      -5.3853760	      -5.3853760	       0.0000000	      -5.3853760
50+	Men	Healthy Weight	2	1	21	4	17	       0.0554406	      -5.3570564	      -5.2120791	       0.2302080	      -5.3236815
50+	Men	Healthy Weight	3	2	21	6	15	       0.0461809	      -5.2498473	      -4.9598928	       0.2218766	      -5.1855132
50+	Men	Healthy Weight	4	3	21	8	13	       0.0439346	      -5.0097583	      -4.5748266	       0.6019556	      -4.7479487
50+	Women	Healthy Weight	1	0	21	2	19	       0.0232990	      -6.5139145	      -6.5139145	       0.0000000	      -6.5139145
50+	Women	Healthy Weight	2	1	21	4	17	       0.0153305	      -6.6425258	      -6.4975485	       0.3420102	      -6.5929421
50+	Women	Healthy Weight	3	2	21	6	15	       0.0093514	      -6.8468838	      -6.5569293	       0.5276235	      -6.6938970
50+	Women	Healthy Weight	4	3	21	8	13	       0.0082907	      -6.6773298	      -6.2423980	       0.4712226	      -6.4723801
20-49	Men	Heavy_alcohol	1	0	10	2	8	       0.0429023	      -4.9908978	      -4.9908978	       0.0000000	      -4.9908978
20-49	Men	Heavy_alcohol	2	1	10	4	6	       0.0415718	      -4.5618848	      -4.3316263	       0.0310129	      -4.5547438
20-49	Women	Heavy_alcohol	1	0	10	2	8	       0.3289482	      -2.9539231	      -2.9539231	       0.0000000	      -2.9539231
20-49	Women	Heavy_alcohol	2	1	10	4	6	       0.2746873	      -2.6736730	      -2.4434145	       0.1649527	      -2.6356913
50+	Men	Heavy_alcohol	1	0	10	2	8	       0.0974139	      -4.1708547	      -4.1708547	       0.0000000	      -4.1708547
