"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Men	35-49	Pancreas	4	3	19	8	11	       0.0730625	      -4.3211146	      -3.8562032	       0.6953719	      -3.9978283
Men	35-49	Prostate	1	0	19	2	17	       0.1581604	      -4.4786438	      -4.4786438	       0.0000000	      -4.4786438
Men	35-49	Prostate	2	1	19	4	15	       0.0650215	      -5.0575937	      -4.9026232	       0.5888885	      -4.9663334
Men	35-49	Prostate	3	2	19	6	13	       0.0489219	      -5.0321467	      -4.7222058	       0.2844125	      -4.9439957
Men	35-49	Prostate	4	3	19	8	11	       0.0476759	      -4.7480038	      -4.2830924	       0.4093094	      -4.5577112
Men	35-49	Stomach	1	0	19	2	17	       0.1288020	      -4.6839773	      -4.6839773	       0.0000000	      -4.6839773
Men	35-49	Stomach	2	1	19	4	15	       0.1095235	      -4.5361729	      -4.3812024	       0.1496749	      -4.5129777
Men	35-49	Stomach	3	2	19	6	13	       0.0878302	      -4.4469658	      -4.1370249	       0.8703285	      -4.1772154
Men	35-49	Stomach	4	3	19	8	11	       0.0601621	      -4.5153887	      -4.0504773	       0.5670022	      -4.2517829
Men	35-49	Testis	1	0	19	2	17	       0.0435967	      -5.7672713	      -5.7672713	       0.0000000	      -5.7672713
Men	35-49	Testis	2	1	19	4	15	       0.0332132	      -5.7293658	      -5.5743953	       0.2381727	      -5.6924560
Men	35-49	Testis	3	2	19	6	13	       0.0296430	      -5.5331446	      -5.2232036	       0.2122699	      -5.4673534
Men	35-49	Testis	4	3	19	8	11	       0.0273679	      -5.3030596	      -4.8381482	       0.3571069	      -5.1370365
Men	35-49	Thyroid	1	0	19	2	17	       0.1084492	      -4.8559718	      -4.8559718	       0.0000000	      -4.8559718
Men	35-49	Thyroid	2	1	19	4	15	       0.0419149	      -5.4966706	      -5.3417001	       0.6135063	      -5.4015952
Men	35-49	Thyroid	3	2	19	6	13	       0.0380071	      -5.2845984	      -4.9746575	       0.6643715	      -5.0786825
Men	35-49	Thyroid	4	3	19	8	11	       0.0361840	      -5.0238131	      -4.5589017	       0.7249960	      -4.6867542
Men	50-64	Bladder	1	0	19	2	17	       0.0495935	      -5.6383944	      -5.6383944	       0.0000000	      -5.6383944
Men	50-64	Bladder	2	1	19	4	15	       0.0363492	      -5.6391396	      -5.4841691	       0.2670561	      -5.5977537
Men	50-64	Bladder	3	2	19	6	13	       0.0201173	      -5.9207899	      -5.6108490	       0.8209576	      -5.6663415
Men	50-64	Bladder	4	3	19	8	11	       0.0135380	      -6.0069324	      -5.5420210	       0.8209576	      -5.6252599
Men	50-64	Brain and CNS	1	0	19	2	17	       0.0472643	      -5.6864977	      -5.6864977	       0.0000000	      -5.6864977
Men	50-64	Brain and CNS	2	1	19	4	15	       0.0306131	      -5.8108845	      -5.6559140	       0.3523001	      -5.7562884
Men	50-64	Brain and CNS	3	2	19	6	13	       0.0255993	      -5.6798061	      -5.3698652	       0.4679205	      -5.5347784
Men	50-64	Brain and CNS	4	3	19	8	11	       0.0242185	      -5.4253117	      -4.9604003	       0.5709064	      -5.1598908
Men	50-64	Colorectum	1	0	19	2	17	       0.0316312	      -6.0881092	      -6.0881092	       0.0000000	      -6.0881092
Men	50-64	Colorectum	2	1	19	4	15	       0.0151225	      -6.5161270	      -6.3611565	       0.5219113	      -6.4352462
Men	50-64	Colorectum	3	2	19	6	13	       0.0063041	      -7.0811738	      -6.7712328	       0.8198458	      -6.8270700
Men	50-64	Colorectum	4	3	19	8	11	       0.0051170	      -6.9798635	      -6.5149521	       0.8117230	      -6.6024842
Men	50-64	Gallbladder	1	0	19	2	17	       0.2218967	      -4.1400415	      -4.1400415	       0.0000000	      -4.1400415
