"age_group"	"sex"	"level"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
2-15 years	Boys	Obese	2	25	6	19	0.095188	0.005010	Uncorrelated	2	2012	2006	2017	-49.428524	26.665564	-1.853646	0.081226	0.025922	0.013227	1.959775	0.066626	0.053131	0.018706	2.840343	0.011302	705.420241	0.000000	0.000175	1.000000	0.000000	1.000000
2-15 years	Boys	Overweight	0	25	2	23	0.190779	0.008295	Uncorrelated	0	NA	NA	NA	9.786125	5.069671	1.930328	0.065987	-0.003563	0.002526	-1.410660	0.171728	NA	NA	NA	NA	25.701559	-0.012806	0.000006	1.000000	-0.999994	1.000000
2-15 years	Boys	Overweight including obese	1	25	4	21	0.070209	0.003343	Uncorrelated	0	NA	NA	NA	-60.445891	18.257576	-3.310729	0.003489	0.031916	0.009136	3.493612	0.002289	NA	NA	NA	NA	333.339071	0.000000	41.714791	1.000000	0.000000	1.000000
2-15 years	Boys	Overweight including obese	1	25	4	21	0.070209	0.003343	Uncorrelated	1	2003	2000	2006	15.739159	6.458699	2.436893	0.024282	-0.006119	0.003211	-1.905744	0.071160	-0.038035	0.009683	-3.927877	0.000833	0.000083	0.000000	0.000010	1.000000	0.000000	1.000000
2-15 years	Girls	Obese	1	25	4	21	0.120630	0.005744	Uncorrelated	0	NA	NA	NA	-77.244167	19.370908	-3.987638	0.000724	0.039965	0.009690	4.124239	0.000526	NA	NA	NA	NA	375.232061	0.000000	81.456323	1.000000	0.000000	1.000000
2-15 years	Girls	Obese	1	25	4	21	0.120630	0.005744	Uncorrelated	1	2004	2001	2006	35.712435	9.025316	3.956918	0.000778	-0.016400	0.004486	-3.656146	0.001570	-0.056366	0.010678	-5.278574	0.000036	0.000094	0.000000	0.000020	1.000000	0.000000	1.000000
2-15 years	Girls	Overweight	1	25	4	21	0.119081	0.005671	Uncorrelated	0	NA	NA	NA	-37.362722	23.710183	-1.575809	0.130756	0.020000	0.011864	1.685763	0.107381	NA	NA	NA	NA	562.172777	0.000000	70.351549	1.000000	0.000000	1.000000
2-15 years	Girls	Overweight	1	25	4	21	0.119081	0.005671	Uncorrelated	1	2003	1997	2008	16.690262	8.387583	1.989877	0.060452	-0.006986	0.004170	-1.675416	0.109418	-0.026986	0.012575	-2.145932	0.044332	0.000141	0.000000	0.000017	1.000000	0.000000	1.000000
2-15 years	Girls	Overweight including obese	1	25	4	21	0.052963	0.002522	Uncorrelated	0	NA	NA	NA	-63.463026	15.835482	-4.007647	0.000691	0.033413	0.007924	4.216918	0.000424	NA	NA	NA	NA	250.762497	0.000000	31.380975	1.000000	0.000000	1.000000
2-15 years	Girls	Overweight including obese	1	25	4	21	0.052963	0.002522	Uncorrelated	1	2003	2001	2005	24.907200	5.601872	4.446228	0.000248	-0.010705	0.002785	-3.844079	0.001013	-0.044119	0.008399	-5.252982	0.000039	0.000063	0.000000	0.000008	1.000000	0.000000	1.000000
