"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Men	50+	Brain and CNS	3	2	19	6	13	       0.0101650	      -6.6034201	      -6.2934792	       0.1849728	      -6.5460895
Men	50+	Brain and CNS	4	3	19	8	11	       0.0099835	      -6.3115009	      -5.8465895	       0.2171336	      -6.2105530
Men	50+	Colorectum	1	0	19	2	17	       0.0274244	      -6.2308202	      -6.2308202	       0.0000000	      -6.2308202
Men	50+	Colorectum	2	1	19	4	15	       0.0055052	      -7.5266198	      -7.3716493	       0.7992593	      -7.4027582
Men	50+	Colorectum	3	2	19	6	13	       0.0020793	      -8.1903611	      -7.8804202	       0.9038411	      -7.9102238
Men	50+	Colorectum	4	3	19	8	11	       0.0015672	      -8.1631649	      -7.6982534	       0.9038411	      -7.7429588
Men	50+	Gallbladder	1	0	19	2	17	       0.0724175	      -5.2598059	      -5.2598059	       0.0000000	      -5.2598059
Men	50+	Gallbladder	2	1	19	4	15	       0.0551849	      -5.2216231	      -5.0666526	       0.2379614	      -5.1847461
Men	50+	Gallbladder	3	2	19	6	13	       0.0359994	      -5.3388684	      -5.0289275	       0.8313396	      -5.0812022
Men	50+	Gallbladder	4	3	19	8	11	       0.0323195	      -5.1367609	      -4.6718495	       0.8313396	      -4.7502616
Men	50+	Hodgkin Lymphoma	1	0	19	2	17	       0.0677683	      -5.3261591	      -5.3261591	       0.0000000	      -5.3261591
Men	50+	Hodgkin Lymphoma	2	1	19	4	15	       0.0372050	      -5.6158684	      -5.4608979	       0.4509964	      -5.5459773
Men	50+	Hodgkin Lymphoma	3	2	19	6	13	       0.0319846	      -5.4571165	      -5.1471756	       0.5220473	      -5.2953127
Men	50+	Hodgkin Lymphoma	4	3	19	8	11	       0.0275928	      -5.2948771	      -4.8299657	       0.5220473	      -5.0521713
Men	50+	Kaposi Sarcoma	1	0	19	2	17	       0.7236446	      -2.9579529	      -2.9579529	       0.0000000	      -2.9579529
Men	50+	Kaposi Sarcoma	2	1	19	4	15	       0.5810731	      -2.8674359	      -2.7124654	       0.1970187	      -2.8369038
Men	50+	Kaposi Sarcoma	3	2	19	6	13	       0.5229680	      -2.6628511	      -2.3529102	       0.3810446	      -2.5447498
Men	50+	Kaposi Sarcoma	4	3	19	8	11	       0.5060657	      -2.3857639	      -1.9208525	       0.3810446	      -2.2086119
Men	50+	Kidney	1	0	19	2	17	       0.0401645	      -5.8492701	      -5.8492701	       0.0000000	      -5.8492701
Men	50+	Kidney	2	1	19	4	15	       0.0160124	      -6.4589511	      -6.3039806	       0.6013303	      -6.3657626
Men	50+	Kidney	3	2	19	6	13	       0.0123864	      -6.4057712	      -6.0958302	       0.4542055	      -6.2649943
Men	50+	Kidney	4	3	19	8	11	       0.0072976	      -6.6248850	      -6.1599736	       0.8360944	      -6.2361752
Men	50+	Larynx	1	0	19	2	17	       0.0251341	      -6.3180270	      -6.3180270	       0.0000000	      -6.3180270
Men	50+	Larynx	2	1	19	4	15	       0.0083263	      -7.1128906	      -6.9579201	       0.6687244	      -7.0092580
Men	50+	Larynx	3	2	19	6	13	       0.0059943	      -7.1315660	      -6.8216251	       0.7582480	      -6.8965539
Men	50+	Larynx	4	3	19	8	11	       0.0053956	      -6.9268513	      -6.4619399	       0.4657138	      -6.7103356
Men	50+	Leukaemia	1	0	19	2	17	       0.0899282	      -5.0432416	      -5.0432416	       0.0000000	      -5.0432416
Men	50+	Leukaemia	2	1	19	4	15	       0.0208945	      -6.1928245	      -6.0378540	       0.7676531	      -6.0738609
Men	50+	Leukaemia	3	2	19	6	13	       0.0170322	      -6.0872654	      -5.7773245	       0.7896728	      -5.8425135
Men	50+	Leukaemia	4	3	19	8	11	       0.0135533	      -6.0057990	      -5.5408876	       0.8754217	      -5.5988055
Men	50+	Liver	1	0	19	2	17	       0.0475733	      -5.6799811	      -5.6799811	       0.0000000	      -5.6799811
Men	50+	Liver	2	1	19	4	15	       0.0124302	      -6.7121847	      -6.5572143	       0.7387153	      -6.5977057
Men	50+	Liver	3	2	19	6	13	       0.0106619	      -6.5556954	      -6.2457545	       0.7820019	      -6.3133210
Men	50+	Liver	4	3	19	8	11	       0.0101162	      -6.2982961	      -5.8333847	       0.8161527	      -5.9188575
Men	50+	Lung	1	0	19	2	17	       0.0052695	      -7.8803210	      -7.8803210	       0.0000000	      -7.8803210
Men	50+	Lung	2	1	19	4	15	       0.0034094	      -8.0057891	      -7.8508186	       0.3530004	      -7.9510845
Men	50+	Lung	3	2	19	6	13	       0.0018201	      -8.3234569	      -8.0135160	       0.5941004	      -8.1393209
Men	50+	Lung	4	3	19	8	11	       0.0015411	      -8.1799206	      -7.7150092	       0.7711438	      -7.8214070
Men	50+	Melanoma	1	0	19	2	17	       0.0699645	      -5.2942660	      -5.2942660	       0.0000000	      -5.2942660
Men	50+	Melanoma	2	1	19	4	15	       0.0119223	      -6.7539023	      -6.5989318	       0.8295950	      -6.6253396
Men	50+	Melanoma	3	2	19	6	13	       0.0068082	      -7.0042378	      -6.6942969	       0.7088704	      -6.7845299
Men	50+	Melanoma	4	3	19	8	11	       0.0055535	      -6.8980091	      -6.4330977	       0.6878826	      -6.5782046
Men	50+	MultipleMyeloma	1	0	19	2	17	       0.0392887	      -5.8713176	      -5.8713176	       0.0000000	      -5.8713176
Men	50+	MultipleMyeloma	2	1	19	4	15	       0.0369855	      -5.6217870	      -5.4668165	       0.0586218	      -5.6127023
Men	50+	MultipleMyeloma	3	2	19	6	13	       0.0247810	      -5.7122958	      -5.4023549	       0.4322311	      -5.5783297
Men	50+	MultipleMyeloma	4	3	19	8	11	       0.0232379	      -5.4666459	      -5.0017344	       0.4661710	      -5.2499177
Men	50+	Non-Hodgkin Lymphoma	1	0	19	2	17	       0.0406491	      -5.8372754	      -5.8372754	       0.0000000	      -5.8372754
Men	50+	Non-Hodgkin Lymphoma	2	1	19	4	15	       0.0049533	      -7.6322487	      -7.4772782	       0.8781439	      -7.4961623
