"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Women	50+	Endometrium	4	3	19	8	11	      23.8226772	       1.4659628	       1.9308742	       0.5217627	       1.7085362
Women	50+	Gallbladder	1	0	19	2	17	      27.3335451	       0.6736167	       0.6736167	       0.0000000	       0.6736167
Women	50+	Gallbladder	2	1	19	4	15	      24.7032135	       0.8823762	       1.0373467	       0.0962309	       0.8972892
Women	50+	Gallbladder	3	2	19	6	13	      17.5936534	       0.8529221	       1.1628630	       0.9136530	       1.1361006
Women	50+	Gallbladder	4	3	19	8	11	      15.0556718	       1.0070796	       1.4719910	       0.6294841	       1.2997339
Women	50+	Kidney	1	0	19	2	17	     143.9375487	       2.3348815	       2.3348815	       0.0000000	       2.3348815
Women	50+	Kidney	2	1	19	4	15	      38.8291330	       1.3346137	       1.4895842	       0.7302366	       1.4477788
Women	50+	Kidney	3	2	19	6	13	      33.4139128	       1.4943562	       1.8042972	       0.7420121	       1.7243361
Women	50+	Kidney	4	3	19	8	11	      30.8138419	       1.7232888	       2.1882002	       0.6686430	       2.0341486
Women	50+	Liver	1	0	19	2	17	      96.0747199	       1.9306282	       1.9306282	       0.0000000	       1.9306282
Women	50+	Liver	2	1	19	4	15	      52.5773825	       1.6377289	       1.7926994	       0.4527449	       1.7078910
Women	50+	Liver	3	2	19	6	13	      35.3082651	       1.5495009	       1.8594419	       0.6225515	       1.7424551
Women	50+	Liver	4	3	19	8	11	      30.2095776	       1.7034838	       2.1683952	       0.7172432	       2.0369384
Women	50+	MultipleMyeloma	1	0	19	2	17	     121.7670939	       2.1676121	       2.1676121	       0.0000000	       2.1676121
Women	50+	MultipleMyeloma	2	1	19	4	15	     109.4876612	       2.3712548	       2.5262252	       0.1008436	       2.3868826
Women	50+	MultipleMyeloma	3	2	19	6	13	      52.0964690	       1.9384810	       2.2484220	       0.6996678	       2.1553367
Women	50+	MultipleMyeloma	4	3	19	8	11	      44.4613042	       2.0899440	       2.5548555	       0.6996678	       2.4152276
Women	50+	Oral	1	0	19	2	17	      29.0410483	       0.7342123	       0.7342123	       0.0000000	       0.7342123
Women	50+	Oral	2	1	19	4	15	      18.8349017	       0.6111545	       0.7661250	       0.3514393	       0.6656173
Women	50+	Oral	3	2	19	6	13	      12.5163013	       0.5124158	       0.8223567	       0.4596208	       0.6548711
Women	50+	Oral	4	3	19	8	11	       9.7925365	       0.5769453	       1.0418567	       0.5556833	       0.8352888
Women	50+	Pancreas	1	0	19	2	17	      17.7215191	       0.2402816	       0.2402816	       0.0000000	       0.2402816
Women	50+	Pancreas	2	1	19	4	15	      11.9706359	       0.1578996	       0.3128700	       0.3245153	       0.2081898
Women	50+	Pancreas	3	2	19	6	13	      10.3844984	       0.3256980	       0.6356390	       0.4111804	       0.4531397
Women	50+	Pancreas	4	3	19	8	11	       9.8807074	       0.5859089	       1.0508203	       0.4111804	       0.7770714
Women	50+	Thyroid	1	0	19	2	17	      34.5994117	       0.9093386	       0.9093386	       0.0000000	       0.9093386
Women	50+	Thyroid	2	1	19	4	15	      20.2941365	       0.6857749	       0.8407454	       0.4134544	       0.7498481
Women	50+	Thyroid	3	2	19	6	13	      12.2145356	       0.4880105	       0.7979515	       0.6810516	       0.6990963
Women	50+	Thyroid	4	3	19	8	11	      11.1561008	       0.7073113	       1.1722227	       0.6810516	       1.0239400
