"Year","Country","Cancer_Site","Sex","Incidences","ASR","ASR_rolling"
2009,"England","Colorectal","Men","18582",92.6,92.6
2010,"England","Colorectal","Men","18893",92.3,92.6
2011,"England","Colorectal","Men","19395",92.9,92.8333333333333
2012,"England","Colorectal","Men","19834",93.3,91.6
2013,"England","Colorectal","Men","19201",88.6,89.2
2014,"England","Colorectal","Men","19018",85.7,86.7
2015,"England","Colorectal","Men","19431",85.8,85.6666666666667
2016,"England","Colorectal","Men","19831",85.5,84.7333333333333
2017,"England","Colorectal","Men","19627",82.9,84.0666666666667
2018,"England","Colorectal","Men","20237",83.8,83.9
2000,"England","Colorectal","Women","13279",56.4,56.0333333333333
2001,"England","Colorectal","Women","13009",54.8,55.0666666666667
2002,"England","Colorectal","Women","12921",54,54.2666666666667
2003,"England","Colorectal","Women","12977",54,54.5
2004,"England","Colorectal","Women","13370",55.5,55.2
2005,"England","Colorectal","Women","13581",56.1,56.2
2006,"England","Colorectal","Women","13941",57,57.0333333333333
2007,"England","Colorectal","Women","14317",58,57.9
2008,"England","Colorectal","Women","14623",58.7,58.4666666666667
2009,"England","Colorectal","Women","14818",58.7,58.7
2010,"England","Colorectal","Women","14930",58.7,59.0666666666667
2011,"England","Colorectal","Women","15446",59.8,59.3
2012,"England","Colorectal","Women","15528",59.4,58.9333333333333
2013,"England","Colorectal","Women","15321",57.6,58.0666666666667
2014,"England","Colorectal","Women","15484",57.2,57.5333333333333
2015,"England","Colorectal","Women","15846",57.8,57.1
2016,"England","Colorectal","Women","15631",56.3,56.5666666666667
2017,"England","Colorectal","Women","15636",55.6,56.0333333333333
2018,"England","Colorectal","Women","16056",56.2,56.6333333333333
2000,"England","Lung","Men","19299",112,111.333333333333
2001,"England","Lung","Men","18953",108.6,107.8
2002,"England","Lung","Men","18266",102.8,103.833333333333
2003,"England","Lung","Men","17952",100.1,101.533333333333
2004,"England","Lung","Men","18474",101.7,100.4
2005,"England","Lung","Men","18284",99.4,100.833333333333
2006,"England","Lung","Men","18952",101.4,99.9
2007,"England","Lung","Men","18797",98.9,100
2008,"England","Lung","Men","19247",99.7,98.2333333333333
2009,"England","Lung","Men","18990",96.1,97.3333333333333
2010,"England","Lung","Men","19369",96.2,96.2
2011,"England","Lung","Men","19745",96.3,96.5
2012,"England","Lung","Men","20330",97,96.2
2013,"England","Lung","Men","20390",95.3,95.2
2014,"England","Lung","Men","20485",93.3,93.3333333333333
2015,"England","Lung","Men","20425",91.4,92.2333333333333
2016,"England","Lung","Men","21044",92,90.6
2017,"England","Lung","Men","20677",88.4,89
2018,"England","Lung","Men","20708",86.6,86.8333333333333
2000,"England","Lung","Women","12234",53.3,53
2001,"England","Lung","Women","12330",53.2,52.9333333333333
2002,"England","Lung","Women","12184",52.3,53.1
2003,"England","Lung","Women","12666",53.8,53.3333333333333
2004,"England","Lung","Women","12692",53.9,54.5333333333333
2005,"England","Lung","Women","13271",55.9,55.9333333333333
2006,"England","Lung","Women","13889",58,57.5333333333333
2007,"England","Lung","Women","14223",58.7,59.3
2008,"England","Lung","Women","14995",61.2,60.3333333333333
2009,"England","Lung","Women","15156",61.1,61.4
2010,"England","Lung","Women","15530",61.9,62.3
2011,"England","Lung","Women","16212",63.9,64
2012,"England","Lung","Women","17061",66.2,65.5333333333333
2013,"England","Lung","Women","17397",66.5,66.4
2014,"England","Lung","Women","17707",66.5,66.7
2015,"England","Lung","Women","18043",67.1,66.9666666666667
2016,"England","Lung","Women","18318",67.3,67.6333333333333
2017,"England","Lung","Women","19006",68.5,67.8666666666667
2018,"England","Lung","Women","19078",67.8,68
2000,"England","Oesophageal","Men","3690",21.2,21
2001,"England","Oesophageal","Men","3828",21.5,21.4666666666667
2002,"England","Oesophageal","Men","3905",21.7,21.6666666666667
2003,"England","Oesophageal","Men","3974",21.8,21.7666666666667
2004,"England","Oesophageal","Men","4019",21.8,21.8333333333333
2005,"England","Oesophageal","Men","4122",21.9,21.9
2006,"England","Oesophageal","Men","4180",22,22.0333333333333
2007,"England","Oesophageal","Men","4335",22.2,22.4666666666667
2008,"England","Oesophageal","Men","4596",23.2,22.6
2009,"England","Oesophageal","Men","4533",22.4,22.8
2010,"England","Oesophageal","Men","4701",22.8,22.5666666666667
2011,"England","Oesophageal","Men","4711",22.5,22.8666666666667
2012,"England","Oesophageal","Men","5001",23.3,22.7666666666667
2013,"England","Oesophageal","Men","4939",22.5,22.6
2014,"England","Oesophageal","Men","4960",22,22.5
2015,"England","Oesophageal","Men","5256",23,22.6
2016,"England","Oesophageal","Men","5285",22.8,22.7333333333333
2017,"England","Oesophageal","Men","5323",22.4,22.6
2018,"England","Oesophageal","Men","5486",22.6,22.3333333333333
2000,"England","Oesophageal","Women","2328",9.7,9.7
2001,"England","Oesophageal","Women","2308",9.6,9.53333333333333
2002,"England","Oesophageal","Women","2248",9.3,9.43333333333334
2003,"England","Oesophageal","Women","2289",9.4,9.26666666666667
2004,"England","Oesophageal","Women","2196",9.1,9.26666666666667
2005,"England","Oesophageal","Women","2287",9.3,9.23333333333333
2006,"England","Oesophageal","Women","2299",9.3,9.23333333333333
2007,"England","Oesophageal","Women","2274",9.1,9.13333333333333
2008,"England","Oesophageal","Women","2258",9,8.96666666666667
2009,"England","Oesophageal","Women","2231",8.8,8.93333333333334
2010,"England","Oesophageal","Women","2326",9,8.83333333333333
2011,"England","Oesophageal","Women","2256",8.7,8.93333333333333
2012,"England","Oesophageal","Women","2420",9.1,8.96666666666667
2013,"England","Oesophageal","Women","2415",9.1,9
2014,"England","Oesophageal","Women","2400",8.8,8.9
2015,"England","Oesophageal","Women","2419",8.8,8.66666666666667
2016,"England","Oesophageal","Women","2336",8.4,8.43333333333334
2017,"England","Oesophageal","Women","2299",8.1,8.26666666666667
2018,"England","Oesophageal","Women","2374",8.3,8.16666666666667
2000,"England","Pancreatic","Men","2930",17.1,16.8
2001,"England","Pancreatic","Men","2882",16.7,16.8666666666667
2002,"England","Pancreatic","Men","2962",16.8,16.6
2003,"England","Pancreatic","Men","2935",16.3,16.7666666666667
2004,"England","Pancreatic","Men","3109",17.2,16.8
2005,"England","Pancreatic","Men","3136",16.9,17.2
2006,"England","Pancreatic","Men","3276",17.5,17.1333333333333
2007,"England","Pancreatic","Men","3247",17,17.5333333333333
2008,"England","Pancreatic","Men","3533",18.1,17.6666666666667
2009,"England","Pancreatic","Men","3559",17.9,17.9333333333333
2010,"England","Pancreatic","Men","3633",17.8,17.9
2011,"England","Pancreatic","Men","3713",18,18.1666666666667
2012,"England","Pancreatic","Men","3949",18.7,18.6666666666667
2013,"England","Pancreatic","Men","4175",19.3,18.9333333333333
2014,"England","Pancreatic","Men","4170",18.8,19.0333333333333
2015,"England","Pancreatic","Men","4292",19,19.1666666666667
2016,"England","Pancreatic","Men","4523",19.7,19.5
2017,"England","Pancreatic","Men","4662",19.8,19.6666666666667
2018,"England","Pancreatic","Men","4673",19.5,19.6
2000,"England","Pancreatic","Women","3081",13,13.0333333333333
2001,"England","Pancreatic","Women","3083",12.9,12.8666666666667
2002,"England","Pancreatic","Women","3055",12.7,12.8666666666667
2003,"England","Pancreatic","Women","3126",13,13.0666666666667
2004,"England","Pancreatic","Women","3267",13.5,13.4333333333333
2005,"England","Pancreatic","Women","3342",13.8,13.8333333333333
2006,"England","Pancreatic","Women","3471",14.2,14
2007,"England","Pancreatic","Women","3449",14,14.2
2008,"England","Pancreatic","Women","3598",14.4,14.3333333333333
2009,"England","Pancreatic","Women","3692",14.6,14.4666666666667
2010,"England","Pancreatic","Women","3694",14.4,14.6
2011,"England","Pancreatic","Women","3832",14.8,14.7333333333333
2012,"England","Pancreatic","Women","3949",15,15.1
2013,"England","Pancreatic","Women","4152",15.5,15.2333333333333
2014,"England","Pancreatic","Women","4128",15.2,15.4333333333333
2015,"England","Pancreatic","Women","4279",15.6,15.3333333333333
2016,"England","Pancreatic","Women","4233",15.2,15.4333333333333
2017,"England","Pancreatic","Women","4371",15.5,15.2666666666667
2018,"England","Pancreatic","Women","4331",15.1,15.4
2000,"England","Prostate","Men","24783",149.2,151.166666666667
2001,"England","Prostate","Men","28213",166,160.033333333333
2002,"England","Prostate","Men","28526",164.9,165
2003,"England","Prostate","Men","28835",164.1,167.6
2004,"England","Prostate","Men","31318",173.8,168.066666666667
2005,"England","Prostate","Men","30522",166.3,171.1
2006,"England","Prostate","Men","32207",173.2,170.066666666667
2007,"England","Prostate","Men","32463",170.7,171.466666666667
2008,"England","Prostate","Men","33124",170.5,174.8
2009,"England","Prostate","Men","36461",183.2,178.1
2010,"England","Prostate","Men","36674",180.6,180.8
2011,"England","Prostate","Men","37066",178.6,180.7
2012,"England","Prostate","Men","38759",182.9,185.8
2013,"England","Prostate","Men","42377",195.9,187.766666666667
2014,"England","Prostate","Men","41101",184.5,187.933333333333
2015,"England","Prostate","Men","41779",183.4,182.533333333333
2016,"England","Prostate","Men","41787",179.7,180.166666666667
2017,"England","Prostate","Men","42139",177.4,188.133333333333
2018,"England","Prostate","Men","50409",207.3,192.766666666667
2000,"Nothern Ireland","All sites excl. NMSC","Men","3120",612.8,621.033333333333
2001,"Nothern Ireland","All sites excl. NMSC","Men","3280",642.5,631.233333333333
2002,"Nothern Ireland","All sites excl. NMSC","Men","3314",638.4,644.6
2003,"Nothern Ireland","All sites excl. NMSC","Men","3453",652.9,648.333333333333
2004,"Nothern Ireland","All sites excl. NMSC","Men","3567",653.7,650.833333333333
2005,"Nothern Ireland","All sites excl. NMSC","Men","3622",645.9,655.433333333333
2006,"Nothern Ireland","All sites excl. NMSC","Men","3783",666.7,666.666666666667
2007,"Nothern Ireland","All sites excl. NMSC","Men","4050",687.4,686.8
2008,"Nothern Ireland","All sites excl. NMSC","Men","4196",706.3,696.866666666667
2009,"Nothern Ireland","All sites excl. NMSC","Men","4229",696.9,692.133333333333
2010,"Nothern Ireland","All sites excl. NMSC","Men","4176",673.2,692.233333333333
2011,"Nothern Ireland","All sites excl. NMSC","Men","4497",706.6,691.366666666667
2012,"Nothern Ireland","All sites excl. NMSC","Men","4526",694.3,692.833333333333
2013,"Nothern Ireland","All sites excl. NMSC","Men","4529",677.6,683.233333333333
2014,"Nothern Ireland","All sites excl. NMSC","Men","4645",677.8,678.766666666667
2015,"Nothern Ireland","All sites excl. NMSC","Men","4778",680.9,677.166666666667
2016,"Nothern Ireland","All sites excl. NMSC","Men","4791",672.8,676.466666666667
2017,"Nothern Ireland","All sites excl. NMSC","Men","4974",675.7,674.5
2018,"Nothern Ireland","All sites excl. NMSC","Men","5054",675,679.166666666667
2000,"Nothern Ireland","All sites excl. NMSC","Women","3387",487.5,476.733333333333
2001,"Nothern Ireland","All sites excl. NMSC","Women","3281",464.3,479.5
2002,"Nothern Ireland","All sites excl. NMSC","Women","3475",486.7,481.433333333333
2003,"Nothern Ireland","All sites excl. NMSC","Women","3560",493.3,492.266666666667
2004,"Nothern Ireland","All sites excl. NMSC","Women","3635",496.8,492.833333333333
2005,"Nothern Ireland","All sites excl. NMSC","Women","3628",488.4,491.6
2006,"Nothern Ireland","All sites excl. NMSC","Women","3686",489.6,496.566666666667
2007,"Nothern Ireland","All sites excl. NMSC","Women","3896",511.7,509.333333333333
2008,"Nothern Ireland","All sites excl. NMSC","Women","4090",526.7,522.1
2009,"Nothern Ireland","All sites excl. NMSC","Women","4135",527.9,523.3
2010,"Nothern Ireland","All sites excl. NMSC","Women","4110",515.3,526.6
2011,"Nothern Ireland","All sites excl. NMSC","Women","4335",536.6,533.2
2012,"Nothern Ireland","All sites excl. NMSC","Women","4486",547.7,543.933333333333
2013,"Nothern Ireland","All sites excl. NMSC","Women","4564",547.5,545.433333333333
2014,"Nothern Ireland","All sites excl. NMSC","Women","4574",541.1,546.766666666667
2015,"Nothern Ireland","All sites excl. NMSC","Women","4729",551.7,553.333333333333
2016,"Nothern Ireland","All sites excl. NMSC","Women","4931",567.2,558.433333333333
2017,"Nothern Ireland","All sites excl. NMSC","Women","4904",556.4,562
2018,"Nothern Ireland","All sites excl. NMSC","Women","5034",562.4,558.433333333333
2000,"Nothern Ireland","Breast","Women","951",136.6,134.033333333333
2001,"Nothern Ireland","Breast","Women","925",130.6,133.2
2002,"Nothern Ireland","Breast","Women","957",132.4,135.133333333333
2003,"Nothern Ireland","Breast","Women","1035",142.4,142.9
2004,"Nothern Ireland","Breast","Women","1134",153.9,146.766666666667
2005,"Nothern Ireland","Breast","Women","1081",144,142.9
2006,"Nothern Ireland","Breast","Women","995",130.8,142.066666666667
2007,"Nothern Ireland","Breast","Women","1163",151.4,144.6
2008,"Nothern Ireland","Breast","Women","1184",151.6,153.133333333333
2009,"Nothern Ireland","Breast","Women","1234",156.4,153.066666666667
2010,"Nothern Ireland","Breast","Women","1217",151.2,155.533333333333
2011,"Nothern Ireland","Breast","Women","1299",159,157.133333333333
2012,"Nothern Ireland","Breast","Women","1330",161.2,158.6
2013,"Nothern Ireland","Breast","Women","1303",155.6,156.366666666667
2014,"Nothern Ireland","Breast","Women","1300",152.3,159.566666666667
2015,"Nothern Ireland","Breast","Women","1467",170.8,162.833333333333
2016,"Nothern Ireland","Breast","Women","1445",165.4,168
2017,"Nothern Ireland","Breast","Women","1487",167.8,167.733333333333
2018,"Nothern Ireland","Breast","Women","1526",170,166.466666666667
2000,"Nothern Ireland","Colorectal","Men","447",88.6,94.3
2001,"Nothern Ireland","Colorectal","Men","520",102.9,93.9
2002,"Nothern Ireland","Colorectal","Men","459",90.2,98.9333333333333
2003,"Nothern Ireland","Colorectal","Men","541",103.7,96
2004,"Nothern Ireland","Colorectal","Men","513",94.1,100
2005,"Nothern Ireland","Colorectal","Men","568",102.2,99.6666666666667
2006,"Nothern Ireland","Colorectal","Men","568",102.7,104.8
2007,"Nothern Ireland","Colorectal","Men","632",109.5,103.8
2008,"Nothern Ireland","Colorectal","Men","589",99.2,104.066666666667
2009,"Nothern Ireland","Colorectal","Men","606",103.5,103.133333333333
2010,"Nothern Ireland","Colorectal","Men","655",106.7,105.8
2011,"Nothern Ireland","Colorectal","Men","680",107.2,108.533333333333
2012,"Nothern Ireland","Colorectal","Men","721",111.7,106.566666666667
2013,"Nothern Ireland","Colorectal","Men","669",100.8,102.833333333333
2014,"Nothern Ireland","Colorectal","Men","658",96,96.6333333333333
2015,"Nothern Ireland","Colorectal","Men","644",93.1,93.3
2016,"Nothern Ireland","Colorectal","Men","633",90.8,90.4
2017,"Nothern Ireland","Colorectal","Men","634",87.3,88.3666666666667
2018,"Nothern Ireland","Colorectal","Men","642",87,88.7
2000,"Nothern Ireland","Colorectal","Women","412",60.3,61.7666666666667
2001,"Nothern Ireland","Colorectal","Women","419",60.1,60.9333333333333
2002,"Nothern Ireland","Colorectal","Women","435",62.4,61.4
2003,"Nothern Ireland","Colorectal","Women","439",61.7,62.6333333333333
2004,"Nothern Ireland","Colorectal","Women","454",63.8,60.7666666666667
2005,"Nothern Ireland","Colorectal","Women","409",56.8,61.1333333333333
2006,"Nothern Ireland","Colorectal","Women","462",62.8,62.6
2007,"Nothern Ireland","Colorectal","Women","512",68.2,65.8
2008,"Nothern Ireland","Colorectal","Women","505",66.4,65.1333333333333
2009,"Nothern Ireland","Colorectal","Women","468",60.8,64.1
2010,"Nothern Ireland","Colorectal","Women","507",65.1,65.2333333333333
2011,"Nothern Ireland","Colorectal","Women","551",69.8,66.3666666666667
2012,"Nothern Ireland","Colorectal","Women","518",64.2,67.2
2013,"Nothern Ireland","Colorectal","Women","560",67.6,64.3666666666667
2014,"Nothern Ireland","Colorectal","Women","514",61.3,62.2
2015,"Nothern Ireland","Colorectal","Women","490",57.7,59.7
2016,"Nothern Ireland","Colorectal","Women","519",60.1,59.7
2017,"Nothern Ireland","Colorectal","Women","536",61.3,60.7
2018,"Nothern Ireland","Colorectal","Women","541",60.7,60.3333333333333
2000,"Nothern Ireland","Lung","Men","521",103.1,106.266666666667
2001,"Nothern Ireland","Lung","Men","565",110.1,103.966666666667
2002,"Nothern Ireland","Lung","Men","509",98.7,103.7
2003,"Nothern Ireland","Lung","Men","536",102.3,104.333333333333
2004,"Nothern Ireland","Lung","Men","589",112,105.5
2005,"Nothern Ireland","Lung","Men","559",102.2,105.766666666667
2006,"Nothern Ireland","Lung","Men","575",103.1,103.166666666667
2007,"Nothern Ireland","Lung","Men","604",104.2,107.533333333333
2008,"Nothern Ireland","Lung","Men","656",115.3,107.9
2009,"Nothern Ireland","Lung","Men","617",104.2,108.433333333333
2010,"Nothern Ireland","Lung","Men","640",105.8,105.466666666667
2011,"Nothern Ireland","Lung","Men","663",106.4,105.7
2012,"Nothern Ireland","Lung","Men","658",104.9,105.566666666667
2013,"Nothern Ireland","Lung","Men","689",105.4,103.366666666667
2014,"Nothern Ireland","Lung","Men","669",99.8,101.833333333333
2015,"Nothern Ireland","Lung","Men","684",100.3,98.7666666666667
2016,"Nothern Ireland","Lung","Men","670",96.2,99.7
2017,"Nothern Ireland","Lung","Men","726",102.6,98.4666666666667
2018,"Nothern Ireland","Lung","Men","704",96.6,97.2333333333333
2000,"Nothern Ireland","Lung","Women","339",50.4,49.8666666666667
2001,"Nothern Ireland","Lung","Women","320",46.6,50.1333333333333
2002,"Nothern Ireland","Lung","Women","368",53.4,50.6666666666667
2003,"Nothern Ireland","Lung","Women","364",52,52.6666666666667
2004,"Nothern Ireland","Lung","Women","373",52.6,52.9333333333333
2005,"Nothern Ireland","Lung","Women","392",54.2,52.6666666666667
2006,"Nothern Ireland","Lung","Women","369",51.2,54.3666666666667
2007,"Nothern Ireland","Lung","Women","424",57.7,54.4666666666667
2008,"Nothern Ireland","Lung","Women","407",54.5,57.8333333333333
2009,"Nothern Ireland","Lung","Women","464",61.3,56.8
2010,"Nothern Ireland","Lung","Women","421",54.6,58.5
2011,"Nothern Ireland","Lung","Women","468",59.6,60.6333333333333
2012,"Nothern Ireland","Lung","Women","536",67.7,65.4
2013,"Nothern Ireland","Lung","Women","556",68.9,69.7333333333333
2014,"Nothern Ireland","Lung","Women","591",72.6,70.8666666666667
2015,"Nothern Ireland","Lung","Women","596",71.1,75.8
2016,"Nothern Ireland","Lung","Women","716",83.7,76.5
2017,"Nothern Ireland","Lung","Women","645",74.7,76.3333333333333
2018,"Nothern Ireland","Lung","Women","621",70.6,74.6333333333333
2000,"Nothern Ireland","Oesophageal","Men","70",13.9,17.3
2001,"Nothern Ireland","Oesophageal","Men","101",19.8,16.8666666666667
2002,"Nothern Ireland","Oesophageal","Men","84",16.9,18.3666666666667
2003,"Nothern Ireland","Oesophageal","Men","94",18.4,18.0666666666667
2004,"Nothern Ireland","Oesophageal","Men","105",18.9,18.9666666666667
2005,"Nothern Ireland","Oesophageal","Men","113",19.6,19.8333333333333
2006,"Nothern Ireland","Oesophageal","Men","122",21,20.7666666666667
2007,"Nothern Ireland","Oesophageal","Men","126",21.7,20.8333333333333
2008,"Nothern Ireland","Oesophageal","Men","125",19.8,19.7666666666667
2009,"Nothern Ireland","Oesophageal","Men","113",17.8,18.7666666666667
2010,"Nothern Ireland","Oesophageal","Men","118",18.7,18.8333333333333
2011,"Nothern Ireland","Oesophageal","Men","124",20,20.1333333333333
2012,"Nothern Ireland","Oesophageal","Men","137",21.7,20.5
2013,"Nothern Ireland","Oesophageal","Men","138",19.8,21.1
2014,"Nothern Ireland","Oesophageal","Men","154",21.8,19.9
2015,"Nothern Ireland","Oesophageal","Men","130",18.1,20.4
2016,"Nothern Ireland","Oesophageal","Men","157",21.3,20.8666666666667
2017,"Nothern Ireland","Oesophageal","Men","176",23.2,21.7666666666667
2018,"Nothern Ireland","Oesophageal","Men","160",20.8,20.9333333333333
2000,"Nothern Ireland","Oesophageal","Women","70",10.3,9.46666666666667
2001,"Nothern Ireland","Oesophageal","Women","62",9,9.1
2002,"Nothern Ireland","Oesophageal","Women","57",8,8.06666666666667
2003,"Nothern Ireland","Oesophageal","Women","51",7.2,7.53333333333333
2004,"Nothern Ireland","Oesophageal","Women","53",7.4,7.13333333333333
2005,"Nothern Ireland","Oesophageal","Women","49",6.8,7.3
2006,"Nothern Ireland","Oesophageal","Women","57",7.7,8
2007,"Nothern Ireland","Oesophageal","Women","72",9.5,8.43333333333333
2008,"Nothern Ireland","Oesophageal","Women","62",8.1,8.43333333333333
2009,"Nothern Ireland","Oesophageal","Women","60",7.7,8.1
2010,"Nothern Ireland","Oesophageal","Women","66",8.5,7.96666666666667
2011,"Nothern Ireland","Oesophageal","Women","61",7.7,8.46666666666667
2012,"Nothern Ireland","Oesophageal","Women","74",9.2,8.3
2013,"Nothern Ireland","Oesophageal","Women","66",8,8.5
2014,"Nothern Ireland","Oesophageal","Women","69",8.3,8.36666666666667
2015,"Nothern Ireland","Oesophageal","Women","76",8.8,8.36666666666667
2016,"Nothern Ireland","Oesophageal","Women","70",8,7.5
2017,"Nothern Ireland","Oesophageal","Women","51",5.7,6.83333333333333
2018,"Nothern Ireland","Oesophageal","Women","61",6.8,6.3
2000,"Nothern Ireland","Pancreatic","Men","63",13.3,15.7
2001,"Nothern Ireland","Pancreatic","Men","96",19.3,16.3666666666667
2002,"Nothern Ireland","Pancreatic","Men","83",16.5,15.6
2003,"Nothern Ireland","Pancreatic","Men","59",11,13.6
2004,"Nothern Ireland","Pancreatic","Men","76",13.3,14.3333333333333
2005,"Nothern Ireland","Pancreatic","Men","100",18.7,16.5333333333333
2006,"Nothern Ireland","Pancreatic","Men","104",17.6,18.5
2007,"Nothern Ireland","Pancreatic","Men","107",19.2,18.7333333333333
2008,"Nothern Ireland","Pancreatic","Men","111",19.4,19.6666666666667
2009,"Nothern Ireland","Pancreatic","Men","112",20.4,18.2
2010,"Nothern Ireland","Pancreatic","Men","89",14.8,16.8666666666667
2011,"Nothern Ireland","Pancreatic","Men","96",15.4,16.4666666666667
2012,"Nothern Ireland","Pancreatic","Men","125",19.2,17.1666666666667
2013,"Nothern Ireland","Pancreatic","Men","111",16.9,17.8666666666667
2014,"Nothern Ireland","Pancreatic","Men","116",17.5,18.9
2015,"Nothern Ireland","Pancreatic","Men","151",22.3,19.9333333333333
2016,"Nothern Ireland","Pancreatic","Men","139",20,20.9
2017,"Nothern Ireland","Pancreatic","Men","146",20.4,20.5333333333333
2018,"Nothern Ireland","Pancreatic","Men","152",21.2,19.8
2000,"Nothern Ireland","Pancreatic","Women","80",11.7,10.3333333333333
2001,"Nothern Ireland","Pancreatic","Women","75",10.8,11.7333333333333
2002,"Nothern Ireland","Pancreatic","Women","87",12.7,12.4333333333333
2003,"Nothern Ireland","Pancreatic","Women","99",13.8,12.6333333333333
2004,"Nothern Ireland","Pancreatic","Women","83",11.4,12.1333333333333
2005,"Nothern Ireland","Pancreatic","Women","81",11.2,12.0666666666667
2006,"Nothern Ireland","Pancreatic","Women","101",13.6,12.0666666666667
2007,"Nothern Ireland","Pancreatic","Women","84",11.4,13.3
2008,"Nothern Ireland","Pancreatic","Women","112",14.9,13.1333333333333
2009,"Nothern Ireland","Pancreatic","Women","100",13.1,13.8
2010,"Nothern Ireland","Pancreatic","Women","105",13.4,13.7666666666667
2011,"Nothern Ireland","Pancreatic","Women","118",14.8,14.7
2012,"Nothern Ireland","Pancreatic","Women","130",15.9,15.5666666666667
2013,"Nothern Ireland","Pancreatic","Women","129",16,15.8333333333333
2014,"Nothern Ireland","Pancreatic","Women","128",15.6,15.7
2015,"Nothern Ireland","Pancreatic","Women","131",15.5,14.8
2016,"Nothern Ireland","Pancreatic","Women","113",13.3,14.2333333333333
2017,"Nothern Ireland","Pancreatic","Women","122",13.9,13.4
2018,"Nothern Ireland","Pancreatic","Women","116",13,13.8666666666667
2000,"Nothern Ireland","Prostate","Men","594",127.1,121.066666666667
2001,"Nothern Ireland","Prostate","Men","583",125.5,131.066666666667
